
 pipe pipes
 flexure flexures
 deflection deflections
 servomotor servomotors
 movement movements
 acceleration accelerations
 force forces
 pumpmotor pumpmotors
 moment moments
 counterweight counterweights

 plasticizer plasticizers
 colorant colorants
 excipient excipients
 cement cements
 emulsifier emulsifiers
 retardant retardants
 antioxidant antioxidants
 stabilizer stabilizers
 emulsion emulsions
 synergist synergists
 dispersant dispersants
 blend blends
 modifier modifiers
 adjuvant adjuvants
 solvent solvents
 filler fillers
 reducer reducers
 detergent detergents
 dispersion dispersions
 substance substances
 surfactant surfactants
 ingredient ingredients
 pigment pigments
 solution solutions
 clay clays
 additive additives
 sweetener sweeteners
 enhancer enhancers
 dye dyes
 agent agents
 binder binders

 ue ues
 session sessions
 gateway gateways
 proxy proxies
 bearer bearers
 station stations
 resource resources
 server servers
 endpoint endpoints
 client clients
 relay relays
 vm vms
 broker brokers
 handler handlers
 router routers
 api apis
 manager managers
 host hosts

 microsphere microspheres
 microparticle microparticles
 scaffold scaffolds
 gel gels
 coating coatings
 particle particles
 nanopore nanopores
 aerogel aerogels
 nanofiber nanofibers
 monolayer monolayers
 core cores
 monolith monoliths
 microneedle microneedles
 microwell microwells
 nanocrystal nanocrystals
 nanoparticle nanoparticles
 nanorod nanorods
 biomaterial biomaterials
 nano-particle nano-particles
 proppant proppants
 pore pores
 hydrogel hydrogels
 microbubble microbubbles
 nanotube nanotubes
 bilayer bilayers
 membrane membranes
 fiber fibers

 ontology ontologies
 document documents
 annotation annotations
 comment comments

 zone zones
 region regions
 spot spots
 point points

 icon icons
 key keys

 allocation allocations
 assignment assignments
 inquiry inquiries

 satellite satellites
 urban buildings
 airport flights
 maneuver maneuvers
 equipment equipments
 road roads
 train trains
 vehicle vehicles
 automobile automobiles
 airplane aircrafts
 elevator elevators
 passenger passengers

 value values
 threshold thresholds
 probability probabilities

 granule granules
 powder powders
 cake cakes
 product products
 sieve sieves
 flake flakes
 paste pastes
 seed seeds
 particulate particulates
 grain grains
 fruit fruits
 hydrolysate hydrolysates
 flavor flavors
 concentrate concentrates
 slurry slurries

 insulator insulators


 consumer consumers
 participant participants
 user users
 player players
 viewer viewers
 listener listeners
 observer observers

 silo silos
 auger augers
 extruder extruders
 mill mills
 feeder feeders
 conveyor conveyors
 cutter cutters
 hopper hoppers
 grinder grinders
 paddle paddles
 centrifuge centrifuges
 mixer mixers
 chute chutes
 medium mediums
 digester digesters
 feed feeds

 route routes
 scheduler schedulers
 appointment appointments
 budget budgets
 schedule schedules
 plan plans
 date dates
 program programs


 distinction distinctions
 relationship relationships
 mapping mappings
 association associations
 agreement agreements
 correlation correlations
 interaction interactions

 finger fingers

 class classes
 cluster clusters
 list lists
 set sets
 subset subsets


 type types
 format formats
 attribute attributes
 texture textures
 layout layouts
 color colors
 style styles
 font fonts
 definition definitions
 colour colours
 geometry geometries
 design designs
