he his father's 
designer architect sculptor 

fight fighter fighters 
gunfight firefighter firefighters 

fight defeat defend 
fought defeated defended 

told asked persuaded 
tells asks persuades 

told asked refused 
telling asking refusing 

told tells telling 
asked asks asking 

beginning inning henning 
beginnings innings jennings 

described describing descriptions 
explained explaining explanations 

described describing descriptions 
defined defining definitions 

described describe describes 
ascribed scribe scribes 

described describe descriptions 
prescribed prescribe prescriptions 

described describe describing 
explained explain explaining 

described describe describing 
identified identify identifying 

described describe describing 
defined define defining 

described describe describes 
referred refer refers 

described inscribed transcribed 
description inscription transcription 

described prescribed ascribed 
describe prescribe scribe 

described prescribed transcribed 
description prescription transcription 

described explained complained 
describing explaining complaining 

described description descriptions 
inscribed inscription inscriptions 

described description descriptions 
prescribed prescription prescriptions 

described description descriptions 
transcribed transcription transcriptions 

described identified verified 
describe identify verify 

described defined refined 
describing defining refining 

described defined determined 
describe define determine 

described referred preferred 
describes refers prefers 

described referred preferred 
describing referring preferring 

described referred preferred 
describe refer prefer 

russia ukraine serbia 
russians ukrainians serbs 

russia poland finland 
russia's poland's finland's 

railway tramway walkway 
railways tramways walkways 

railway railroad tramway 
railways railroads tramways 

railway subway tramway 
railways subways tramways 

railway motorway tramway 
railways motorways tramways 

culture agriculture horticulture 
cultural agricultural horticultural 

related assimilated manipulated 
relation assimilation manipulation 

needed proceeded exceeded 
needing proceeding exceeding 

code coding coded 
encode encoding encoded 

democratic republican libertarian 
democracies republicans libertarians 

democratic socialist nationalist 
democracies socialists nationalists 

albums singles billboards 
album's single's billboard's 

asia eurasia australasia 
asian eurasian australasian 

asia australasia polynesia 
asian australasian polynesian 

asia asian indonesian 
eurasia eurasian polynesian 

asia asian asia's 
australasia australasian australia's 

schools universities colleges 
school's university's college's 

oldest youngest eldest 
older younger elder 

ireland ireland's zeeland 
scotland scotland's gotland 

ireland scotland iceland 
ireland's scotland's iceland's 

ireland britain scotland 
ireland's britain's scotland's 

ireland britain scotland 
irish british scottish 

ireland irish ireland's 
scotland scottish scotland's 

ireland irish ireland's 
britain british britain's 

ireland zealand iceland 
ireland's zealand's iceland's 

quickly slowly steadily 
quick slow steady 

quickly quicker quickest 
slowly slower slowest 

quickly quick quicker 
slowly slow slower 

present presents presenting 
represent represents representing 

present presenting presentations 
represent representing representations 

present presented presents 
represent represented represents 

present presentation presentations 
represent representation representations 

gets puts pushes 
getting putting pushing 

eat eating eats 
feed feeding feeds 

available accessible sensible 
availability accessibility sensibility 

your yourself yours 
our ourselves ours 

believe argue criticize 
believing arguing criticizing 

contains contain contained 
consists consist consisted 

contains containing contained 
consists consisting consisted 

contains containing contained 
maintains maintaining maintained 

contains containing contained 
retains retaining retained 

contains consists insists 
contained consisted insisted 

contains maintains retains 
containing maintaining retaining 

contains maintains retains 
contained maintained retained 

contains retains stains 
contained retained stained 

britain scotland iceland 
britain's scotland's iceland's 

someone somebody someone's 
everyone everybody everyone's 

someone everyone nobody 
someone's everyone's nobody's 

someone everyone anyone 
somebody everybody anybody 

african asian indonesian 
africans asians indonesians 

african asian indonesian 
africa's asia's indonesia's 

production producing productive 
reproduction reproducing reproductive 

production produce producing 
reproduction reproduce reproducing 

production produce produces 
introduction introduce introduces 

production produces producing 
introduction introduces introducing 

production introduction adoption 
producing introducing adopting 

production reduction deduction 
productions reductions deductions 

action faction transaction 
actions factions transactions 

action transaction deduction 
actions transactions deductions 

eventually subsequently substantially 
eventual subsequent substantial 
