he his father's 
russians ukrainians albanians 

russian hungarian romanian 
russians hungarians romanians 

russian romanian albanian 
russians romanians albanians 

russian armenian albanian 
russians armenians albanians 

museum gallery exhibition 
museums galleries exhibitions 

museum exhibition pavilion 
museums exhibitions pavilions 

museum library gallery 
museums libraries galleries 

smaller larger bigger 
smallest largest biggest 

smaller bigger stronger 
smallest biggest strongest 

smaller fewer newer 
smallest fewest newest 

sports passports imports 
sport passport import 

hot hottest coldest 
billboard sexiest second-oldest 

hot cold cool 
hotter colder cooler 

want wants wanting 
refuse refuses refusing 

want wants wanting 
let lets letting 

want choose decide 
wants chooses decides 

want let wait 
wanting letting waiting 

airport hub commuter 
airports hubs commuters 

airport runway walkway 
airports runways walkways 

development developments redevelopment 
innovation innovations renovation 

development innovation simulation 
developments innovations simulations 

development innovation innovations 
redevelopment renovation renovations 

stop stopped stopping 
prevent prevented preventing 

stop stopped stops 
keep kept keeps 

stop prevent avoid 
stopping preventing avoiding 

stop prevent avoid 
stopped prevented avoided 

stop avoid reduce 
stopping avoiding reducing 

stop keep protect 
stops keeps protects 

stop continue begin 
stopped continued began 

divided dividing divides 
separated separating separates 

win defeat defend 
winning defeating defending 

replaced replacement replaces 
placed placement places 

replaced placed spaced 
replacing placing spacing 

replaced placed displaced 
replacement placement displacement 

keep keeping keeps 
maintain maintaining maintains 

keep kept keeps 
stay stayed stays 

keep prevent avoid 
keeping preventing avoiding 

keep maintain establish 
keeps maintains establishes 

keep maintain establish 
keeping maintaining establishing 

keep stay spend 
keeps stays spends 

keep stay remain 
kept stayed remained 

keep remain maintain 
kept remained maintained 

pakistan pakistan's pakistanis 
afghanistan afghanistan's afghans 

pakistan pakistani pakistanis 
afghanistan afghan afghans 

pakistan afghanistan iraq 
pakistani afghan iraqi 

pakistan bangladesh lanka 
pakistani bangladeshi lankan 

association associations association's 
organization organizations organization's 

association federation confederation 
associations federations confederations 

association appreciation initiation 
associated appreciated initiated 

association organization organisation 
associations organizations organisations 

returned returns returning 
turned turns turning 

returned turned burned 
returning turning burning 

returned turned burned 
returns turns burns 

know knows knowing 
realize realizes realizing 

know tell realize 
knowing telling realizing 

know learn earn 
knows learns earns 

